obec_kod,isds
500011,59fb37m
500020,c42pa2g
500046,zgcwtb9
500062,85kpew4
500071,rbyper7
500101,x7yfetj
500127,sjtfeu4
500135,b6dfevq
500151,kxnfevk
500160,hsifeu7
500194,pepfetp
500259,rjgbakd
500291,mwaazct
500496,kazbzri
500526,z6mbv37
500623,ey6bk4u
500801,nd9bkw4
500852,ywqbsb9
500861,gtubfd2
500879,7c9bntr
501476,fuebeuh
501646,3vzbesc
501751,ba4bemj
501794,4yubeit
501841,m2najff
502146,ne2bugw
502235,5b2aw3e
502405,d8rj2va
502545,bpubeap
502839,nurbezm
503142,dtsbjc5
503304,f95azde
503410,wbsakj8
503444,4rub4s3
503622,w29bqga
503657,4hjbcve
503738,pydbnbv
503916,qwxbrmp
503941,gibb3m2
504246,62fauwv
504301,6f9b2mm
504441,a8jbcma
504505,2fabckg
504785,m7ibb52
504807,qw5a4xj
504921,buqb6yb
504955,e9ib2nd
505005,e73a87r
505013,pi2asev
505030,3kra3z6
505081,89pbbid
505099,65ra6gy
505111,c6db46p
505145,ahkbfb9
505161,8xab2jm
505188,ud7bzn4
505218,b5gba6h
505269,g3iba2n
505293,x9ebzsq
505366,wsvbawp
505391,z8ja3th
505501,6v3bat9
505528,4mua9b7
505587,zbdb4bg
505609,tv5bqfv
505650,uqkbams
505668,jxbbamv
505781,j8rayq3
505862,8gybjsw
505927,5eabx4t
506192,qrvbmm8
506214,idsb5g3
506320,iudbk8h
506451,qw2bfak
506460,iksbe8t
506486,kkcbz7n
506494,8y2buz4
506621,buza7x5
506664,hb4a3w5
506699,yi2a27r
506702,s4qbesg
506711,c4qbyd7
506729,cg9bpx3
506737,7q8bew4
506753,cskbqd7
506761,qxtbnud
506770,bf6bim3
507016,mfpbhkb
507091,pm3b2z5
507105,s26axny
507113,274arzx
507181,5cta6m8
507237,v8aaxpb
507261,zidbd38
507270,bybbhh4
507334,gihbexu
507377,jj2b4fh
507423,ruwaypi
507458,3h2bnp3
507504,6u7bdkj
507547,r9dbxdu
